X [s],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,0.000000e+000
5.000000e-004,0.000000e+000
1.000000e-003,0.000000e+000
1.500000e-003,0.000000e+000
2.000000e-003,0.000000e+000
2.500000e-003,0.000000e+000
3.000000e-003,0.000000e+000
3.500000e-003,0.000000e+000
4.000000e-003,0.000000e+000
4.500000e-003,0.000000e+000
5.000000e-003,0.000000e+000
5.500000e-003,0.000000e+000
6.000000e-003,0.000000e+000
6.500000e-003,0.000000e+000
7.000000e-003,0.000000e+000
7.500000e-003,0.000000e+000
8.000000e-003,0.000000e+000
8.500000e-003,0.000000e+000
9.000000e-003,0.000000e+000
9.500000e-003,0.000000e+000
1.000000e-002,0.000000e+000
1.050000e-002,0.000000e+000
1.100000e-002,0.000000e+000
1.150000e-002,0.000000e+000
1.200000e-002,0.000000e+000
1.250000e-002,0.000000e+000
1.300000e-002,0.000000e+000
1.350000e-002,0.000000e+000
1.400000e-002,0.000000e+000
1.450000e-002,0.000000e+000
1.500000e-002,0.000000e+000
1.550000e-002,0.000000e+000
1.600000e-002,0.000000e+000
1.650000e-002,0.000000e+000
1.700000e-002,0.000000e+000
1.750000e-002,0.000000e+000
1.800000e-002,0.000000e+000
1.850000e-002,0.000000e+000
1.900000e-002,0.000000e+000
1.950000e-002,0.000000e+000
2.000000e-002,0.000000e+000
2.050000e-002,0.000000e+000
2.100000e-002,0.000000e+000
2.150000e-002,0.000000e+000
2.200000e-002,0.000000e+000
2.250000e-002,0.000000e+000
2.300000e-002,0.000000e+000
2.350000e-002,0.000000e+000
2.400000e-002,0.000000e+000
2.450000e-002,0.000000e+000
2.500000e-002,0.000000e+000
2.550000e-002,0.000000e+000
2.600000e-002,0.000000e+000
2.650000e-002,-6.170488e-006
2.700000e-002,-1.691347e-004
2.750000e-002,-2.196628e-004
2.800000e-002,-1.486964e-004
2.850000e-002,-1.718036e-004
2.900000e-002,-1.269624e-004
2.950000e-002,-1.336449e-004
3.000000e-002,-1.038772e-004
3.050000e-002,-9.371270e-005
3.100000e-002,-7.701017e-005
3.150000e-002,-6.229308e-005
3.200000e-002,-5.544356e-005
3.250000e-002,-3.673337e-005
3.300000e-002,-3.488162e-005
3.350000e-002,-1.539866e-005
3.400000e-002,-1.613012e-005
3.450000e-002,3.450472e-006
3.500000e-002,3.029453e-004
3.550000e-002,1.419536e-003
3.600000e-002,2.271338e-003
3.650000e-002,1.066617e-003
3.700000e-002,-5.786433e-004
3.750000e-002,-7.735382e-004
3.800000e-002,-4.372843e-004
3.850000e-002,-2.157735e-004
3.900000e-002,-2.775037e-004
3.950000e-002,-3.015260e-004
4.000000e-002,-2.817718e-004
4.050000e-002,-2.490159e-004
4.100000e-002,-2.213644e-004
4.150000e-002,-2.158362e-004
4.200000e-002,-1.815784e-004
4.250000e-002,-1.780097e-004
4.300000e-002,-1.440552e-004
4.350000e-002,-1.448540e-004
4.400000e-002,-1.152295e-004
4.450000e-002,-1.174037e-004
4.500000e-002,-8.915692e-005
4.550000e-002,-8.659561e-005
4.600000e-002,-6.191332e-005
4.650000e-002,-5.960322e-005
4.700000e-002,-4.335796e-005
4.750000e-002,-3.967221e-005
4.800000e-002,-2.521708e-005
4.850000e-002,-1.458283e-005
4.900000e-002,2.497154e-005
4.950000e-002,6.307217e-004
5.000000e-002,2.009324e-003
5.050000e-002,2.034702e-003
5.100000e-002,2.130182e-004
5.150000e-002,-8.215235e-004
5.200000e-002,-6.393166e-004
5.250000e-002,-2.786852e-004
5.300000e-002,-2.245825e-004
5.350000e-002,-2.893615e-004
5.400000e-002,-2.909189e-004
5.450000e-002,-2.544146e-004
5.500000e-002,-2.205921e-004
