X [s],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,-2.035046e-004
5.000000e-004,-2.710709e-004
1.000000e-003,-1.803948e-004
1.500000e-003,-2.096932e-004
2.000000e-003,-1.487333e-004
2.500000e-003,-1.587717e-004
3.000000e-003,-1.284636e-004
3.500000e-003,-1.242679e-004
4.000000e-003,-1.079689e-004
4.500000e-003,-9.127764e-005
5.000000e-003,-8.303159e-005
5.500000e-003,-5.836596e-005
6.000000e-003,-5.650071e-005
6.500000e-003,-3.239350e-005
7.000000e-003,-3.474171e-005
7.500000e-003,-9.598632e-006
8.000000e-003,2.106860e-004
8.500000e-003,1.364847e-003
9.000000e-003,2.653982e-003
9.500000e-003,1.611606e-003
1.000000e-002,-4.663796e-004
1.050000e-002,-9.456865e-004
1.100000e-002,-5.772638e-004
1.150000e-002,-2.506280e-004
1.200000e-002,-2.988798e-004
1.250000e-002,-3.456649e-004
1.300000e-002,-3.298516e-004
1.350000e-002,-2.913400e-004
1.400000e-002,-2.542542e-004
1.450000e-002,-2.494179e-004
1.500000e-002,-2.078690e-004
1.550000e-002,-2.014559e-004
1.600000e-002,-1.567539e-004
1.650000e-002,-1.563726e-004
1.700000e-002,-1.189082e-004
1.750000e-002,-1.220526e-004
1.800000e-002,-9.165442e-005
1.850000e-002,-9.384729e-005
1.900000e-002,-6.773171e-005
1.950000e-002,-6.661540e-005
2.000000e-002,-4.803445e-005
2.050000e-002,-4.559660e-005
2.100000e-002,-3.447050e-005
2.150000e-002,-2.763809e-005
2.200000e-002,-7.544035e-006
2.250000e-002,5.599312e-004
2.300000e-002,2.105354e-003
2.350000e-002,2.573947e-003
2.400000e-002,6.262636e-004
2.450000e-002,-9.163093e-004
2.500000e-002,-8.252002e-004
2.550000e-002,-3.886547e-004
2.600000e-002,-2.480132e-004
2.650000e-002,-3.355763e-004
2.700000e-002,-3.513636e-004
2.750000e-002,-3.180871e-004
2.800000e-002,-2.845367e-004
2.850000e-002,-2.638881e-004
2.900000e-002,-2.501853e-004
2.950000e-002,-2.214129e-004
3.000000e-002,-2.043040e-004
3.050000e-002,-1.751885e-004
3.100000e-002,-1.625993e-004
3.150000e-002,-1.359702e-004
3.200000e-002,-1.232663e-004
3.250000e-002,-9.881626e-005
3.300000e-002,-8.723315e-005
3.350000e-002,-6.777142e-005
3.400000e-002,-5.889441e-005
3.450000e-002,-4.611107e-005
3.500000e-002,-3.682962e-005
3.550000e-002,-2.460196e-005
3.600000e-002,-1.437533e-005
3.650000e-002,1.459612e-004
3.700000e-002,1.091059e-003
3.750000e-002,2.681688e-003
3.800000e-002,1.969014e-003
3.850000e-002,-3.540445e-004
3.900000e-002,-9.864137e-004
