X [s],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,0.000000e+000
5.000000e-004,0.000000e+000
1.000000e-003,0.000000e+000
1.500000e-003,0.000000e+000
2.000000e-003,0.000000e+000
2.500000e-003,0.000000e+000
3.000000e-003,0.000000e+000
3.500000e-003,0.000000e+000
4.000000e-003,0.000000e+000
4.500000e-003,0.000000e+000
5.000000e-003,0.000000e+000
5.500000e-003,0.000000e+000
6.000000e-003,0.000000e+000
6.500000e-003,0.000000e+000
7.000000e-003,0.000000e+000
7.500000e-003,0.000000e+000
8.000000e-003,0.000000e+000
8.500000e-003,0.000000e+000
9.000000e-003,0.000000e+000
9.500000e-003,0.000000e+000
1.000000e-002,0.000000e+000
1.050000e-002,0.000000e+000
1.100000e-002,0.000000e+000
1.150000e-002,0.000000e+000
1.200000e-002,0.000000e+000
1.250000e-002,0.000000e+000
1.300000e-002,1.225492e-005
1.350000e-002,3.359107e-004
1.400000e-002,-6.711587e-004
1.450000e-002,-1.089548e-003
1.500000e-002,-2.351508e-004
1.550000e-002,-3.981495e-004
1.600000e-002,-2.392348e-004
1.650000e-002,-4.071033e-004
1.700000e-002,-2.878691e-004
1.750000e-002,-2.874306e-004
1.800000e-002,-2.637695e-004
1.850000e-002,-2.176697e-004
1.900000e-002,-2.504372e-004
1.950000e-002,-1.586050e-004
2.000000e-002,-2.135123e-004
2.050000e-002,-1.102701e-004
2.100000e-002,-1.796529e-004
2.150000e-002,-8.304951e-005
2.200000e-002,-1.460548e-004
2.250000e-002,-5.986777e-005
2.300000e-002,-1.075772e-004
2.350000e-002,-4.069053e-005
2.400000e-002,-7.097917e-005
2.450000e-002,-2.678705e-005
2.500000e-002,-3.884330e-005
2.550000e-002,-1.587032e-005
2.600000e-002,4.436804e-005
2.650000e-002,8.581702e-004
2.700000e-002,2.938147e-003
2.750000e-002,2.261094e-003
2.800000e-002,-3.659385e-004
2.850000e-002,-9.266863e-004
2.900000e-002,-7.031509e-004
2.950000e-002,-2.856781e-004
3.000000e-002,-3.068763e-004
3.050000e-002,-3.546850e-004
3.100000e-002,-3.223348e-004
3.150000e-002,-3.232848e-004
3.200000e-002,-2.244594e-004
3.250000e-002,-2.755049e-004
3.300000e-002,-1.816903e-004
3.350000e-002,-2.450418e-004
3.400000e-002,-1.457288e-004
3.450000e-002,-1.977387e-004
3.500000e-002,-1.095856e-004
3.550000e-002,-1.522294e-004
3.600000e-002,-8.254857e-005
3.650000e-002,-1.045264e-004
3.700000e-002,-5.186224e-005
3.750000e-002,-6.073259e-005
3.800000e-002,-3.965576e-005
3.850000e-002,-3.935628e-005
3.900000e-002,-3.502348e-005
3.950000e-002,-1.828371e-005
4.000000e-002,-2.449146e-005
4.050000e-002,6.473548e-005
4.100000e-002,1.834353e-003
4.150000e-002,3.067001e-003
4.200000e-002,9.467797e-004
4.250000e-002,-7.255108e-004
4.300000e-002,-9.261495e-004
4.350000e-002,-4.718325e-004
4.400000e-002,-2.984756e-004
4.450000e-002,-3.197893e-004
4.500000e-002,-3.431510e-004
4.550000e-002,-3.265784e-004
4.600000e-002,-2.678369e-004
4.650000e-002,-2.614922e-004
4.700000e-002,-2.196695e-004
4.750000e-002,-2.276970e-004
4.800000e-002,-1.840148e-004
4.850000e-002,-1.904715e-004
4.900000e-002,-1.472848e-004
4.950000e-002,-1.506727e-004
5.000000e-002,-1.139365e-004
5.050000e-002,-1.166568e-004
5.100000e-002,-8.788414e-005
5.150000e-002,-8.659642e-005
5.200000e-002,-6.554291e-005
5.250000e-002,-6.109300e-005
5.300000e-002,-4.416381e-005
5.350000e-002,-3.447348e-005
5.400000e-002,-2.014225e-005
