X [s],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,1.216381e-005
5.000000e-004,1.715421e-005
1.000000e-003,1.460489e-005
1.500000e-003,1.916395e-005
2.000000e-003,1.697800e-005
2.500000e-003,1.806048e-005
3.000000e-003,1.411050e-005
3.500000e-003,1.098897e-005
4.000000e-003,1.059562e-005
4.500000e-003,1.246107e-005
5.000000e-003,1.335001e-005
5.500000e-003,1.214455e-005
6.000000e-003,1.296890e-005
6.500000e-003,1.192035e-005
7.000000e-003,1.164425e-005
7.500000e-003,9.915178e-006
8.000000e-003,1.031778e-005
8.500000e-003,9.834054e-006
9.000000e-003,1.167237e-005
9.500000e-003,1.183351e-005
1.000000e-002,1.075330e-005
1.050000e-002,9.483037e-006
1.100000e-002,1.025862e-005
1.150000e-002,9.794300e-006
1.200000e-002,8.899518e-006
1.250000e-002,7.998005e-006
1.300000e-002,7.787922e-006
1.350000e-002,8.722718e-006
1.400000e-002,8.825877e-006
1.450000e-002,8.731648e-006
1.500000e-002,8.288652e-006
1.550000e-002,9.110885e-006
1.600000e-002,1.006446e-005
1.650000e-002,1.129948e-005
1.700000e-002,1.099238e-005
1.750000e-002,1.070701e-005
1.800000e-002,1.093164e-005
1.850000e-002,1.181662e-005
1.900000e-002,1.138228e-005
1.950000e-002,1.164797e-005
2.000000e-002,1.155287e-005
2.050000e-002,1.013448e-005
2.100000e-002,7.757524e-006
2.150000e-002,7.631731e-006
2.200000e-002,9.601050e-006
2.250000e-002,1.133645e-005
2.300000e-002,1.147794e-005
2.350000e-002,1.079644e-005
2.400000e-002,1.143064e-005
2.450000e-002,1.266754e-005
2.500000e-002,1.179774e-005
2.550000e-002,9.136766e-006
2.600000e-002,7.704730e-006
2.650000e-002,6.688398e-006
2.700000e-002,6.730117e-006
2.750000e-002,8.305444e-006
2.800000e-002,8.971144e-006
2.850000e-002,8.313899e-006
2.900000e-002,7.421151e-006
2.950000e-002,6.581458e-006
3.000000e-002,7.464989e-006
3.050000e-002,9.145390e-006
3.100000e-002,1.115267e-005
3.150000e-002,1.157609e-005
3.200000e-002,1.086015e-005
3.250000e-002,1.026438e-005
3.300000e-002,9.353933e-006
3.350000e-002,8.952715e-006
3.400000e-002,8.821155e-006
3.450000e-002,8.384697e-006
3.500000e-002,9.293923e-006
3.550000e-002,1.174416e-005
3.600000e-002,1.426169e-005
3.650000e-002,1.534665e-005
3.700000e-002,1.452834e-005
3.750000e-002,1.367443e-005
3.800000e-002,1.333699e-005
3.850000e-002,1.355096e-005
3.900000e-002,1.489798e-005
3.950000e-002,1.616572e-005
4.000000e-002,1.558662e-005
4.050000e-002,1.418726e-005
4.100000e-002,1.231244e-005
4.150000e-002,1.295100e-005
4.200000e-002,1.422232e-005
4.250000e-002,1.065228e-005
4.300000e-002,9.316054e-006
4.350000e-002,1.084503e-005
4.400000e-002,1.017717e-005
4.450000e-002,9.133169e-006
4.500000e-002,8.982488e-006
4.550000e-002,8.911340e-006
4.600000e-002,8.209847e-006
4.650000e-002,8.272847e-006
4.700000e-002,9.155945e-006
4.750000e-002,9.388295e-006
4.800000e-002,9.359777e-006
4.850000e-002,9.881985e-006
4.900000e-002,9.614280e-006
4.950000e-002,9.221530e-006
5.000000e-002,9.460287e-006
5.050000e-002,7.923135e-006
5.100000e-002,4.608635e-006
5.150000e-002,4.280774e-006
5.200000e-002,8.187306e-006
5.250000e-002,1.173989e-005
5.300000e-002,1.131570e-005
5.350000e-002,9.247344e-006
5.400000e-002,7.964101e-006
5.450000e-002,8.612166e-006
