X [s],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,9.430369e-006
5.000000e-004,1.237806e-005
1.000000e-003,9.541754e-006
1.500000e-003,1.491181e-005
2.000000e-003,1.500842e-005
2.500000e-003,1.506524e-005
3.000000e-003,1.116031e-005
3.500000e-003,1.009529e-005
4.000000e-003,1.154919e-005
4.500000e-003,1.442390e-005
5.000000e-003,1.806163e-005
5.500000e-003,1.862258e-005
6.000000e-003,1.694619e-005
6.500000e-003,1.240737e-005
7.000000e-003,1.051869e-005
7.500000e-003,9.517566e-006
8.000000e-003,1.059321e-005
8.500000e-003,9.885352e-006
9.000000e-003,9.130073e-006
9.500000e-003,8.410225e-006
1.000000e-002,9.920443e-006
1.050000e-002,1.031480e-005
1.100000e-002,9.270608e-006
1.150000e-002,6.691334e-006
1.200000e-002,5.649866e-006
1.250000e-002,7.846947e-006
1.300000e-002,1.088278e-005
1.350000e-002,1.170731e-005
1.400000e-002,9.444764e-006
1.450000e-002,8.148187e-006
1.500000e-002,8.730063e-006
1.550000e-002,1.113425e-005
1.600000e-002,1.024691e-005
1.650000e-002,8.342791e-006
1.700000e-002,7.774526e-006
1.750000e-002,8.794743e-006
1.800000e-002,1.045133e-005
1.850000e-002,1.118587e-005
1.900000e-002,1.057105e-005
1.950000e-002,9.009306e-006
2.000000e-002,8.216992e-006
2.050000e-002,9.799222e-006
2.100000e-002,1.236035e-005
2.150000e-002,1.423628e-005
2.200000e-002,1.398776e-005
2.250000e-002,1.357616e-005
2.300000e-002,1.448211e-005
2.350000e-002,1.536723e-005
2.400000e-002,1.457945e-005
2.450000e-002,1.367316e-005
2.500000e-002,1.333778e-005
2.550000e-002,1.313301e-005
2.600000e-002,1.270450e-005
2.650000e-002,1.193291e-005
2.700000e-002,1.290518e-005
2.750000e-002,1.284615e-005
2.800000e-002,1.126631e-005
2.850000e-002,1.066579e-005
2.900000e-002,1.044667e-005
2.950000e-002,8.721836e-006
3.000000e-002,7.689246e-006
3.050000e-002,9.453646e-006
3.100000e-002,1.124270e-005
3.150000e-002,1.159042e-005
3.200000e-002,9.655952e-006
3.250000e-002,7.277090e-006
3.300000e-002,7.093726e-006
3.350000e-002,9.127674e-006
3.400000e-002,1.130871e-005
3.450000e-002,1.218689e-005
3.500000e-002,1.292619e-005
3.550000e-002,1.307698e-005
3.600000e-002,1.249776e-005
3.650000e-002,1.133431e-005
3.700000e-002,1.076357e-005
3.750000e-002,1.201195e-005
3.800000e-002,1.398928e-005
3.850000e-002,1.316622e-005
3.900000e-002,1.072263e-005
3.950000e-002,1.029736e-005
4.000000e-002,1.245346e-005
4.050000e-002,1.386019e-005
4.100000e-002,1.381840e-005
4.150000e-002,1.452031e-005
4.200000e-002,1.535183e-005
4.250000e-002,1.407369e-005
4.300000e-002,1.039620e-005
4.350000e-002,9.614746e-006
4.400000e-002,1.195358e-005
4.450000e-002,1.404949e-005
4.500000e-002,1.424813e-005
4.550000e-002,1.380652e-005
4.600000e-002,1.355216e-005
4.650000e-002,1.307305e-005
4.700000e-002,1.288384e-005
4.750000e-002,1.214037e-005
4.800000e-002,1.093894e-005
4.850000e-002,1.078502e-005
4.900000e-002,1.285454e-005
4.950000e-002,1.531099e-005
5.000000e-002,1.556840e-005
5.050000e-002,1.385198e-005
5.100000e-002,1.252816e-005
5.150000e-002,1.256034e-005
5.200000e-002,1.243729e-005
5.250000e-002,9.242946e-006
5.300000e-002,7.967578e-006
5.350000e-002,1.024406e-005
5.400000e-002,1.110078e-005
5.450000e-002,1.056329e-005
5.500000e-002,9.014968e-006
5.550000e-002,9.005222e-006
5.600000e-002,1.015465e-005
5.650000e-002,1.167832e-005
5.700000e-002,1.151280e-005
5.750000e-002,9.014322e-006
5.800000e-002,7.428682e-006
5.850000e-002,7.960329e-006
5.900000e-002,8.783260e-006
5.950000e-002,8.206658e-006
6.000000e-002,7.426098e-006
6.050000e-002,8.181059e-006
6.100000e-002,1.022595e-005
6.150000e-002,1.059400e-005
6.200000e-002,9.390918e-006
6.250000e-002,9.240690e-006
6.300000e-002,1.004103e-005
6.350000e-002,8.113283e-006
6.400000e-002,4.850439e-006
6.450000e-002,4.226655e-006
6.500000e-002,6.449711e-006
6.550000e-002,9.176127e-006
6.600000e-002,1.041974e-005
6.650000e-002,1.057493e-005
6.700000e-002,1.086841e-005
6.750000e-002,1.040098e-005
6.800000e-002,1.036901e-005
6.850000e-002,1.072737e-005
6.900000e-002,9.239570e-006
6.950000e-002,7.054528e-006
7.000000e-002,5.204966e-006
7.050000e-002,4.229281e-006
7.100000e-002,5.006729e-006
7.150000e-002,8.258266e-006
7.200000e-002,9.346070e-006
7.250000e-002,7.599913e-006
7.300000e-002,6.889602e-006
7.350000e-002,7.886581e-006
7.400000e-002,8.888484e-006
7.450000e-002,9.632708e-006
7.500000e-002,1.122792e-005
7.550000e-002,1.236250e-005
7.600000e-002,1.171170e-005
7.650000e-002,9.470249e-006
7.700000e-002,8.189256e-006
7.750000e-002,9.363327e-006
7.800000e-002,1.157593e-005
7.850000e-002,1.186571e-005
7.900000e-002,1.144833e-005
7.950000e-002,1.130338e-005
8.000000e-002,1.058258e-005
8.050000e-002,1.055843e-005
8.100000e-002,1.044873e-005
8.150000e-002,1.050087e-005
8.200000e-002,1.088316e-005
8.250000e-002,1.163464e-005
8.300000e-002,1.296565e-005
8.350000e-002,1.374634e-005
8.400000e-002,1.395680e-005
8.450000e-002,1.421626e-005
8.500000e-002,1.390239e-005
8.550000e-002,1.279936e-005
8.600000e-002,1.201270e-005
8.650000e-002,1.235856e-005
8.700000e-002,1.360347e-005
8.750000e-002,1.220932e-005
8.800000e-002,8.908054e-006
8.850000e-002,7.667061e-006
8.900000e-002,8.599621e-006
8.950000e-002,9.103852e-006
9.000000e-002,9.098449e-006
9.050000e-002,1.061920e-005
9.100000e-002,1.277708e-005
9.150000e-002,1.340133e-005
9.200000e-002,1.190535e-005
9.250000e-002,9.277819e-006
9.300000e-002,7.257258e-006
9.350000e-002,7.315430e-006
9.400000e-002,9.092042e-006
9.450000e-002,1.007246e-005
9.500000e-002,9.511074e-006
9.550000e-002,9.868483e-006
9.600000e-002,9.795166e-006
9.650000e-002,8.880625e-006
9.700000e-002,8.707992e-006
9.750000e-002,9.611274e-006
9.800000e-002,1.033395e-005
9.850000e-002,1.154537e-005
9.900000e-002,1.343410e-005
9.950000e-002,1.486562e-005
1.000000e-001,1.475551e-005
1.005000e-001,1.341629e-005
1.010000e-001,1.354256e-005
1.015000e-001,1.427174e-005
1.020000e-001,1.393720e-005
1.025000e-001,1.254961e-005
1.030000e-001,1.250348e-005
1.035000e-001,1.469174e-005
1.040000e-001,1.692783e-005
1.045000e-001,1.670230e-005
1.050000e-001,1.523879e-005
1.055000e-001,1.549543e-005
1.060000e-001,1.618387e-005
1.065000e-001,1.478056e-005
1.070000e-001,1.334716e-005
1.075000e-001,1.305422e-005
1.080000e-001,1.325643e-005
1.085000e-001,1.248279e-005
1.090000e-001,1.045199e-005
1.095000e-001,8.352192e-006
1.100000e-001,7.865247e-006
1.105000e-001,8.078741e-006
1.110000e-001,7.766096e-006
1.115000e-001,8.289629e-006
1.120000e-001,8.830332e-006
1.125000e-001,1.021449e-005
1.130000e-001,1.143812e-005
1.135000e-001,1.160402e-005
1.140000e-001,1.078018e-005
1.145000e-001,9.530424e-006
1.150000e-001,8.061136e-006
1.155000e-001,7.341750e-006
1.160000e-001,7.656313e-006
1.165000e-001,7.417434e-006
1.170000e-001,6.354108e-006
1.175000e-001,6.058116e-006
1.180000e-001,7.484420e-006
1.185000e-001,9.993699e-006
1.190000e-001,1.186569e-005
1.195000e-001,1.166550e-005
1.200000e-001,1.219984e-005
1.205000e-001,1.554523e-005
1.210000e-001,1.815676e-005
1.215000e-001,1.682741e-005
1.220000e-001,1.380748e-005
1.225000e-001,1.143297e-005
1.230000e-001,1.171654e-005
1.235000e-001,1.224904e-005
1.240000e-001,1.130651e-005
1.245000e-001,1.031575e-005
1.250000e-001,1.014959e-005
1.255000e-001,1.046890e-005
1.260000e-001,1.146396e-005
1.265000e-001,1.199582e-005
1.270000e-001,1.084415e-005
1.275000e-001,1.090170e-005
1.280000e-001,1.203237e-005
1.285000e-001,1.264802e-005
1.290000e-001,1.271579e-005
1.295000e-001,1.312191e-005
1.300000e-001,1.286532e-005
1.305000e-001,1.202482e-005
1.310000e-001,1.057960e-005
