X [s],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,-3.427734e-004
5.000000e-004,-3.215213e-004
1.000000e-003,-1.740077e-004
1.500000e-003,-3.517107e-004
2.000000e-003,-2.303578e-004
2.500000e-003,-2.649148e-004
3.000000e-003,-1.923692e-004
3.500000e-003,-2.008354e-004
4.000000e-003,-1.703548e-004
4.500000e-003,-1.462093e-004
5.000000e-003,-1.442083e-004
5.500000e-003,-1.102028e-004
6.000000e-003,-1.269899e-004
6.500000e-003,-8.775029e-005
7.000000e-003,-1.087745e-004
7.500000e-003,-6.431012e-005
8.000000e-003,-7.950822e-005
8.500000e-003,-3.487671e-005
9.000000e-003,-4.597641e-005
9.500000e-003,-1.375901e-005
1.000000e-002,-2.671064e-005
1.050000e-002,-6.857140e-006
1.100000e-002,-1.018041e-006
1.150000e-002,2.846952e-004
1.200000e-002,1.720052e-003
1.250000e-002,2.385597e-003
1.300000e-002,5.298607e-004
1.350000e-002,-8.405201e-004
1.400000e-002,-7.181360e-004
1.450000e-002,-3.407610e-004
1.500000e-002,-2.102434e-004
1.550000e-002,-2.865749e-004
1.600000e-002,-2.728238e-004
1.650000e-002,-2.717792e-004
1.700000e-002,-2.079357e-004
1.750000e-002,-2.118140e-004
1.800000e-002,-1.712016e-004
1.850000e-002,-1.781331e-004
1.900000e-002,-1.424699e-004
1.950000e-002,-1.439833e-004
2.000000e-002,-1.161286e-004
2.050000e-002,-1.135486e-004
2.100000e-002,-9.254220e-005
2.150000e-002,-8.376891e-005
2.200000e-002,-6.666301e-005
2.250000e-002,-5.178336e-005
2.300000e-002,-4.060414e-005
2.350000e-002,-2.840887e-005
2.400000e-002,-2.596037e-005
2.450000e-002,-9.903115e-006
2.500000e-002,-9.005926e-006
2.550000e-002,6.683176e-005
2.600000e-002,6.953537e-004
2.650000e-002,2.349814e-003
2.700000e-002,1.875356e-003
2.750000e-002,-3.326707e-004
2.800000e-002,-8.202365e-004
2.850000e-002,-5.818969e-004
2.900000e-002,-2.418634e-004
2.950000e-002,-2.617775e-004
3.000000e-002,-2.976453e-004
