X [s],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,0.000000e+000
5.000000e-004,0.000000e+000
1.000000e-003,0.000000e+000
1.500000e-003,0.000000e+000
2.000000e-003,0.000000e+000
2.500000e-003,0.000000e+000
3.000000e-003,0.000000e+000
3.500000e-003,0.000000e+000
4.000000e-003,0.000000e+000
4.500000e-003,0.000000e+000
5.000000e-003,0.000000e+000
5.500000e-003,0.000000e+000
6.000000e-003,0.000000e+000
6.500000e-003,0.000000e+000
7.000000e-003,0.000000e+000
7.500000e-003,0.000000e+000
8.000000e-003,0.000000e+000
8.500000e-003,0.000000e+000
9.000000e-003,0.000000e+000
9.500000e-003,0.000000e+000
1.000000e-002,0.000000e+000
1.050000e-002,0.000000e+000
1.100000e-002,0.000000e+000
1.150000e-002,0.000000e+000
1.200000e-002,0.000000e+000
1.250000e-002,0.000000e+000
1.300000e-002,-7.567580e-006
1.350000e-002,-2.074294e-004
1.400000e-002,-3.449246e-004
1.450000e-002,-3.270930e-004
1.500000e-002,-3.343443e-004
1.550000e-002,-2.631502e-004
1.600000e-002,-2.565605e-004
1.650000e-002,-2.240952e-004
1.700000e-002,-2.129214e-004
1.750000e-002,-1.894841e-004
1.800000e-002,-1.661213e-004
1.850000e-002,-1.510719e-004
1.900000e-002,-1.252727e-004
1.950000e-002,-1.173226e-004
2.000000e-002,-9.316162e-005
2.050000e-002,-9.002622e-005
2.100000e-002,-6.620810e-005
2.150000e-002,-6.003209e-005
2.200000e-002,-3.688149e-005
2.250000e-002,-3.545362e-005
2.300000e-002,-2.299670e-005
2.350000e-002,-2.199677e-005
2.400000e-002,5.404996e-005
2.450000e-002,6.715608e-004
2.500000e-002,2.470147e-003
2.550000e-002,2.410432e-003
2.600000e-002,-2.199743e-005
2.650000e-002,-1.020485e-003
2.700000e-002,-7.358641e-004
2.750000e-002,-2.846834e-004
2.800000e-002,-2.812399e-004
2.850000e-002,-3.366844e-004
2.900000e-002,-3.285037e-004
2.950000e-002,-3.020956e-004
3.000000e-002,-2.444559e-004
3.050000e-002,-2.500373e-004
3.100000e-002,-2.022287e-004
3.150000e-002,-2.142350e-004
3.200000e-002,-1.612018e-004
3.250000e-002,-1.725020e-004
3.300000e-002,-1.279926e-004
3.350000e-002,-1.384146e-004
3.400000e-002,-1.008646e-004
3.450000e-002,-1.037387e-004
3.500000e-002,-7.416023e-005
3.550000e-002,-7.124168e-005
3.600000e-002,-5.126412e-005
3.650000e-002,-4.301412e-005
3.700000e-002,-3.013103e-005
3.750000e-002,-1.595425e-005
3.800000e-002,-9.606289e-006
3.850000e-002,1.904859e-004
3.900000e-002,1.454501e-003
3.950000e-002,2.930372e-003
4.000000e-002,1.434080e-003
4.050000e-002,-8.045319e-004
4.100000e-002,-9.395789e-004
4.150000e-002,-5.159469e-004
4.200000e-002,-2.511092e-004
4.250000e-002,-3.151432e-004
4.300000e-002,-3.437388e-004
4.350000e-002,-3.219178e-004
4.400000e-002,-2.937524e-004
4.450000e-002,-2.479126e-004
4.500000e-002,-2.506806e-004
4.550000e-002,-2.056664e-004
4.600000e-002,-2.104468e-004
4.650000e-002,-1.603388e-004
4.700000e-002,-1.672204e-004
4.750000e-002,-1.255816e-004
4.800000e-002,-1.289455e-004
4.850000e-002,-8.999096e-005
4.900000e-002,-9.016701e-005
4.950000e-002,-6.608867e-005
5.000000e-002,-6.551389e-005
5.050000e-002,-4.803251e-005
5.100000e-002,-3.933595e-005
5.150000e-002,-2.834646e-005
5.200000e-002,-1.689392e-005
5.250000e-002,1.336010e-005
5.300000e-002,4.099204e-004
5.350000e-002,2.383605e-003
5.400000e-002,2.752927e-003
