X [s],Trigno sensor (EMG) 1: EMG 1 [Volts]
0.000000e+000,1.503392e-006
5.000000e-004,3.962724e-006
1.000000e-003,5.567873e-006
1.500000e-003,5.386938e-006
2.000000e-003,2.174636e-006
2.500000e-003,1.504018e-007
3.000000e-003,1.478712e-006
3.500000e-003,2.872318e-006
4.000000e-003,2.035734e-006
4.500000e-003,-2.042152e-007
5.000000e-003,-1.610147e-006
5.500000e-003,-1.951858e-006
6.000000e-003,-2.056895e-006
6.500000e-003,-2.788279e-006
7.000000e-003,-4.322664e-006
7.500000e-003,-6.678937e-006
8.000000e-003,-7.733025e-006
8.500000e-003,-6.579505e-006
9.000000e-003,-5.813752e-006
9.500000e-003,-6.750392e-006
1.000000e-002,-7.154989e-006
1.050000e-002,-5.296466e-006
1.100000e-002,-4.595286e-006
1.150000e-002,-7.501000e-006
1.200000e-002,-9.890058e-006
1.250000e-002,-1.019095e-005
1.300000e-002,-9.853403e-006
1.350000e-002,-1.020957e-005
1.400000e-002,-1.109131e-005
1.450000e-002,-1.243745e-005
1.500000e-002,-1.293246e-005
1.550000e-002,-1.072973e-005
1.600000e-002,-8.171379e-006
1.650000e-002,-6.167308e-006
1.700000e-002,-5.816429e-006
1.750000e-002,-4.140236e-006
1.800000e-002,-2.438055e-006
1.850000e-002,-1.748336e-006
1.900000e-002,-4.256032e-007
1.950000e-002,-5.110147e-007
2.000000e-002,-2.315536e-006
2.050000e-002,-3.787879e-006
2.100000e-002,-2.929144e-006
2.150000e-002,-2.115853e-006
2.200000e-002,-2.130490e-006
2.250000e-002,-3.670696e-006
2.300000e-002,-5.280357e-006
2.350000e-002,-2.741525e-006
2.400000e-002,2.248801e-006
2.450000e-002,2.154800e-006
2.500000e-002,-3.087998e-006
2.550000e-002,-5.943623e-006
2.600000e-002,-5.374695e-006
2.650000e-002,-5.485182e-006
2.700000e-002,-5.022664e-006
2.750000e-002,-2.890211e-006
2.800000e-002,-1.175349e-006
2.850000e-002,-2.914296e-006
2.900000e-002,-7.291374e-006
