X [s],Trigno sensor (EMG) 1: EMG 1 [Volts]
0.000000e+000,0.000000e+000
5.000000e-004,0.000000e+000
1.000000e-003,0.000000e+000
1.500000e-003,0.000000e+000
2.000000e-003,0.000000e+000
2.500000e-003,0.000000e+000
3.000000e-003,0.000000e+000
3.500000e-003,0.000000e+000
4.000000e-003,0.000000e+000
4.500000e-003,0.000000e+000
5.000000e-003,0.000000e+000
5.500000e-003,0.000000e+000
6.000000e-003,0.000000e+000
6.500000e-003,0.000000e+000
7.000000e-003,0.000000e+000
7.500000e-003,0.000000e+000
8.000000e-003,0.000000e+000
8.500000e-003,0.000000e+000
9.000000e-003,0.000000e+000
9.500000e-003,0.000000e+000
1.000000e-002,0.000000e+000
1.050000e-002,0.000000e+000
1.100000e-002,0.000000e+000
1.150000e-002,0.000000e+000
1.200000e-002,0.000000e+000
1.250000e-002,0.000000e+000
1.300000e-002,-1.103500e-006
1.350000e-002,-3.024723e-005
1.400000e-002,-3.837036e-005
1.450000e-002,-1.989942e-005
1.500000e-002,-1.762276e-005
1.550000e-002,-7.742804e-006
1.600000e-002,-1.015383e-005
1.650000e-002,-6.911361e-006
1.700000e-002,-6.790697e-006
1.750000e-002,-8.756942e-006
1.800000e-002,-1.098667e-005
1.850000e-002,-1.162314e-005
1.900000e-002,-7.754261e-006
1.950000e-002,-6.185730e-006
2.000000e-002,-2.371635e-006
2.050000e-002,-4.915717e-006
2.100000e-002,-5.138540e-006
2.150000e-002,-7.261779e-006
2.200000e-002,-5.544222e-006
2.250000e-002,-6.223578e-006
2.300000e-002,-3.614760e-006
2.350000e-002,-1.230844e-006
2.400000e-002,3.277457e-006
2.450000e-002,4.639871e-006
2.500000e-002,4.894738e-006
2.550000e-002,3.877531e-006
2.600000e-002,1.617897e-006
2.650000e-002,-4.035727e-007
2.700000e-002,-1.131900e-007
2.750000e-002,1.698691e-006
2.800000e-002,7.342033e-007
2.850000e-002,-4.121715e-007
2.900000e-002,-3.729557e-006
2.950000e-002,-4.959301e-006
3.000000e-002,-5.708658e-006
3.050000e-002,-6.101234e-006
3.100000e-002,-8.093338e-006
3.150000e-002,-8.868273e-006
3.200000e-002,-1.028722e-005
3.250000e-002,-8.935077e-006
3.300000e-002,-9.008079e-006
3.350000e-002,-9.711369e-006
3.400000e-002,-8.559814e-006
3.450000e-002,-4.720604e-006
3.500000e-002,-3.234627e-006
3.550000e-002,-5.058588e-006
3.600000e-002,-8.147504e-006
3.650000e-002,-8.626558e-006
3.700000e-002,-5.568706e-006
3.750000e-002,-2.613379e-006
3.800000e-002,-1.879887e-006
3.850000e-002,-5.049401e-006
3.900000e-002,-8.607649e-006
3.950000e-002,-1.065165e-005
4.000000e-002,-7.753597e-006
4.050000e-002,-9.689311e-007
4.100000e-002,2.472667e-006
4.150000e-002,3.753326e-007
4.200000e-002,-4.371813e-006
4.250000e-002,-1.063421e-005
4.300000e-002,-1.139645e-005
4.350000e-002,-8.686969e-006
4.400000e-002,-7.035036e-006
4.450000e-002,-5.560276e-006
4.500000e-002,-2.777952e-006
4.550000e-002,-1.206968e-006
4.600000e-002,-3.206097e-007
4.650000e-002,1.711391e-006
4.700000e-002,3.521480e-006
4.750000e-002,6.387206e-006
4.800000e-002,1.068517e-005
4.850000e-002,1.381755e-005
4.900000e-002,1.347858e-005
4.950000e-002,1.002766e-005
5.000000e-002,5.581992e-006
5.050000e-002,3.074033e-006
5.100000e-002,2.077134e-006
5.150000e-002,9.109945e-007
5.200000e-002,1.383924e-006
5.250000e-002,4.049451e-006
5.300000e-002,2.321603e-006
5.350000e-002,-8.737311e-006
5.400000e-002,-2.582222e-005
5.450000e-002,-3.539095e-005
