X [s],Trigno sensor (EMG) 1: EMG 1 [Volts],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,-1.991311e-004,-7.790305e-006
5.000000e-004,-2.666140e-004,-8.617420e-006
1.000000e-003,-1.843236e-004,-1.233718e-006
1.500000e-003,-2.214855e-004,8.748783e-007
2.000000e-003,-1.650044e-004,3.671034e-006
2.500000e-003,-1.723115e-004,2.624807e-006
3.000000e-003,-1.386865e-004,5.216468e-006
3.500000e-003,-1.344335e-004,7.329199e-006
4.000000e-003,-1.195045e-004,8.149422e-006
4.500000e-003,-1.025256e-004,8.673145e-006
5.000000e-003,-9.477852e-005,9.729150e-006
5.500000e-003,-7.306869e-005,1.135230e-005
6.000000e-003,-7.529010e-005,1.098732e-005
6.500000e-003,-5.377722e-005,1.189150e-005
7.000000e-003,-5.664078e-005,1.496734e-005
7.500000e-003,-3.457704e-005,1.963648e-005
8.000000e-003,-3.960098e-005,1.972999e-005
8.500000e-003,3.037476e-004,3.767778e-005
9.000000e-003,1.428317e-003,1.009591e-004
9.500000e-003,2.284411e-003,1.391296e-004
1.000000e-002,1.065828e-003,5.168525e-005
1.050000e-002,-5.304470e-004,-3.929441e-005
1.100000e-002,-7.372546e-004,-3.666804e-005
1.150000e-002,-4.470651e-004,-1.296689e-005
1.200000e-002,-2.478308e-004,-2.066853e-006
1.250000e-002,-2.992676e-004,-6.578947e-006
1.300000e-002,-3.122778e-004,-5.625979e-006
1.350000e-002,-2.978879e-004,-2.074184e-006
1.400000e-002,-2.676727e-004,2.525278e-006
1.450000e-002,-2.491814e-004,5.044832e-006
1.500000e-002,-2.429123e-004,5.407426e-006
1.550000e-002,-2.224034e-004,4.729316e-006
1.600000e-002,-2.122268e-004,2.772949e-006
1.650000e-002,-1.831344e-004,2.716303e-006
1.700000e-002,-1.748360e-004,-8.910956e-007
1.750000e-002,-1.468359e-004,-2.189730e-006
1.800000e-002,-1.379069e-004,-1.495292e-006
1.850000e-002,-1.159237e-004,2.429610e-006
1.900000e-002,-1.093859e-004,3.643076e-006
1.950000e-002,-9.129479e-005,3.434700e-006
2.000000e-002,-8.244414e-005,3.508622e-006
2.050000e-002,-6.561726e-005,6.653252e-006
2.100000e-002,-5.826796e-005,9.885427e-006
2.150000e-002,-5.076464e-005,1.263751e-005
2.200000e-002,-4.155168e-005,1.320675e-005
2.250000e-002,7.240622e-006,1.392954e-005
2.300000e-002,5.914768e-004,4.741300e-005
2.350000e-002,1.993157e-003,1.286050e-004
2.400000e-002,2.053770e-003,1.175874e-004
2.450000e-002,2.523540e-004,2.000603e-006
2.500000e-002,-7.590409e-004,-4.301842e-005
2.550000e-002,-6.364329e-004,-2.473261e-005
2.600000e-002,-3.041239e-004,-7.124946e-006
2.650000e-002,-2.445929e-004,-9.081414e-006
2.700000e-002,-2.936842e-004,-1.437515e-005
2.750000e-002,-2.984190e-004,-1.387439e-005
2.800000e-002,-2.792197e-004,-9.226365e-006
2.850000e-002,-2.480795e-004,-2.260726e-006
2.900000e-002,-2.427278e-004,1.888691e-006
2.950000e-002,-2.150389e-004,4.465569e-006
3.000000e-002,-2.062009e-004,4.203817e-006
3.050000e-002,-1.789396e-004,4.986836e-006
3.100000e-002,-1.729795e-004,3.005249e-006
3.150000e-002,-1.515854e-004,1.752517e-006
3.200000e-002,-1.477954e-004,2.971347e-007
3.250000e-002,-1.266219e-004,1.718628e-006
3.300000e-002,-1.182384e-004,2.189095e-006
3.350000e-002,-1.020965e-004,2.608308e-006
3.400000e-002,-9.296105e-005,4.315757e-006
3.450000e-002,-7.623023e-005,9.172251e-006
3.500000e-002,-6.473824e-005,1.394957e-005
3.550000e-002,-5.520004e-005,1.514662e-005
3.600000e-002,-4.546154e-005,1.326135e-005
3.650000e-002,-3.349152e-005,1.343335e-005
3.700000e-002,1.846170e-004,3.099633e-005
3.750000e-002,1.167687e-003,9.704626e-005
3.800000e-002,2.385993e-003,1.641029e-004
3.850000e-002,1.429653e-003,8.736755e-005
3.900000e-002,-4.337720e-004,-2.391752e-005
3.950000e-002,-7.641375e-004,-2.744833e-005
4.000000e-002,-4.873874e-004,-7.041262e-006
4.050000e-002,-2.291239e-004,1.337320e-006
4.100000e-002,-2.810614e-004,-8.219193e-006
4.150000e-002,-3.032830e-004,-9.194021e-006
4.200000e-002,-2.903816e-004,-9.754476e-006
4.250000e-002,-2.750623e-004,-1.608863e-005
4.300000e-002,-2.436035e-004,-2.065495e-005
4.350000e-002,-2.533795e-004,-2.167108e-005
4.400000e-002,-2.213477e-004,-1.573209e-005
4.450000e-002,-2.303452e-004,-1.369953e-005
4.500000e-002,-1.821222e-004,-9.853406e-006
4.550000e-002,-1.826578e-004,-5.925889e-006
4.600000e-002,-1.376695e-004,3.624292e-006
4.650000e-002,-1.407905e-004,1.030260e-005
4.700000e-002,-1.069449e-004,1.940755e-005
4.750000e-002,-1.074134e-004,2.378389e-005
4.800000e-002,-7.934286e-005,2.584796e-005
4.850000e-002,-7.728242e-005,2.572530e-005
4.900000e-002,-6.040627e-005,2.923943e-005
4.950000e-002,-5.505278e-005,3.089429e-005
5.000000e-002,-4.473281e-005,2.726511e-005
5.050000e-002,-3.563018e-005,1.707443e-005
5.100000e-002,-9.331825e-006,1.716232e-007
5.150000e-002,3.867879e-004,1.088437e-006
5.200000e-002,1.883288e-003,7.992940e-005
5.250000e-002,2.329996e-003,1.069448e-004
5.300000e-002,4.453681e-004,1.137543e-005
5.350000e-002,-7.622561e-004,-2.351083e-005
5.400000e-002,-6.907014e-004,4.345768e-006
5.450000e-002,-3.214722e-004,2.795639e-005
5.500000e-002,-2.502816e-004,2.229604e-005
5.550000e-002,-2.938962e-004,8.182921e-006
5.600000e-002,-3.043232e-004,2.297850e-007
5.650000e-002,-2.862280e-004,-2.224767e-006
5.700000e-002,-2.451285e-004,-1.578028e-006
5.750000e-002,-2.416691e-004,-2.193184e-006
5.800000e-002,-2.122163e-004,-2.415865e-006
5.850000e-002,-2.119620e-004,-5.962362e-006
5.900000e-002,-1.802086e-004,-5.597399e-006
5.950000e-002,-1.775599e-004,-5.135255e-006
6.000000e-002,-1.484433e-004,-3.954250e-006
6.050000e-002,-1.465235e-004,-9.374262e-006
6.100000e-002,-1.198040e-004,-1.588362e-005
6.150000e-002,-1.143407e-004,-1.978173e-005
