X [s],Trigno sensor (EMG) 1: EMG 1 [Volts],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,1.462391e-005,1.189047e-005
5.000000e-004,1.957072e-005,1.676872e-005
1.000000e-003,1.587837e-005,1.190356e-005
1.500000e-003,2.107159e-005,1.315054e-005
2.000000e-003,1.632277e-005,1.130809e-005
2.500000e-003,1.641166e-005,1.590913e-005
3.000000e-003,1.319173e-005,1.768994e-005
3.500000e-003,1.189205e-005,1.837086e-005
4.000000e-003,1.040521e-005,1.639627e-005
4.500000e-003,7.481319e-006,1.339141e-005
5.000000e-003,3.067302e-006,1.021641e-005
5.500000e-003,-1.277917e-006,5.968739e-006
6.000000e-003,-1.265012e-006,4.529009e-006
6.500000e-003,-3.563141e-006,3.291590e-006
7.000000e-003,-4.547326e-006,3.964329e-006
7.500000e-003,-6.814450e-006,2.612136e-006
8.000000e-003,-7.691036e-006,3.743786e-006
8.500000e-003,-1.055634e-005,5.833665e-006
9.000000e-003,-1.044699e-005,1.010778e-005
9.500000e-003,-1.156147e-005,1.389132e-005
1.000000e-002,-1.303690e-005,1.773406e-005
1.050000e-002,-1.480578e-005,1.706626e-005
1.100000e-002,-1.432024e-005,1.432950e-005
1.150000e-002,-1.579220e-005,1.260579e-005
1.200000e-002,-1.761660e-005,1.289789e-005
1.250000e-002,-1.812423e-005,1.345068e-005
1.300000e-002,-1.912061e-005,1.553724e-005
1.350000e-002,-2.082256e-005,1.859232e-005
1.400000e-002,-2.353539e-005,1.679099e-005
1.450000e-002,-2.458819e-005,1.371221e-005
1.500000e-002,-2.446576e-005,1.283976e-005
1.550000e-002,-2.529001e-005,1.399268e-005
1.600000e-002,-2.410209e-005,1.515159e-005
1.650000e-002,-2.296976e-005,1.554861e-005
1.700000e-002,-2.533567e-005,1.409102e-005
1.750000e-002,-2.406330e-005,1.316830e-005
1.800000e-002,-2.190973e-005,1.146828e-005
1.850000e-002,-1.895499e-005,8.440708e-006
1.900000e-002,-1.728681e-005,4.949225e-006
1.950000e-002,-1.743092e-005,4.076034e-006
2.000000e-002,-2.010090e-005,4.577093e-006
2.050000e-002,-2.018231e-005,5.285503e-006
2.100000e-002,-1.788748e-005,6.819936e-006
2.150000e-002,-1.418813e-005,1.091927e-005
2.200000e-002,-1.036150e-005,1.482443e-005
2.250000e-002,-7.901763e-006,1.500514e-005
2.300000e-002,-8.748473e-006,1.224242e-005
2.350000e-002,-1.141578e-005,1.134778e-005
2.400000e-002,-1.171475e-005,1.243260e-005
2.450000e-002,-9.157186e-006,1.334540e-005
2.500000e-002,-7.555169e-006,1.453826e-005
2.550000e-002,-9.697158e-006,1.440554e-005
2.600000e-002,-1.281814e-005,1.206455e-005
2.650000e-002,-1.301184e-005,8.474236e-006
2.700000e-002,-1.152379e-005,6.885373e-006
2.750000e-002,-1.272458e-005,5.424183e-006
2.800000e-002,-1.261772e-005,1.635606e-006
2.850000e-002,-1.354998e-005,-9.602562e-007
2.900000e-002,-1.455503e-005,5.076104e-007
2.950000e-002,-1.298705e-005,2.141397e-006
3.000000e-002,-1.209209e-005,1.459755e-006
3.050000e-002,-1.227797e-005,2.230365e-007
3.100000e-002,-9.767309e-006,2.092860e-007
3.150000e-002,-9.750493e-006,1.903845e-006
3.200000e-002,-1.377448e-005,3.868571e-006
3.250000e-002,-1.451555e-005,5.157214e-006
3.300000e-002,-1.281215e-005,7.582411e-006
3.350000e-002,-1.181738e-005,1.052963e-005
3.400000e-002,-1.008531e-005,1.204787e-005
3.450000e-002,-7.668799e-006,1.212396e-005
3.500000e-002,-6.901618e-006,1.260409e-005
3.550000e-002,-8.545944e-006,1.412033e-005
3.600000e-002,-1.183082e-005,1.515181e-005
3.650000e-002,-1.427204e-005,1.541529e-005
3.700000e-002,-1.392393e-005,1.481718e-005
3.750000e-002,-1.235641e-005,1.330470e-005
3.800000e-002,-1.263385e-005,1.282134e-005
3.850000e-002,-1.236494e-005,1.263562e-005
3.900000e-002,-1.121535e-005,1.242295e-005
3.950000e-002,-1.141793e-005,1.413456e-005
4.000000e-002,-1.139307e-005,1.457801e-005
4.050000e-002,-1.070854e-005,1.161332e-005
4.100000e-002,-9.685101e-006,5.941868e-006
4.150000e-002,-8.235626e-006,-1.575332e-006
4.200000e-002,-7.984770e-006,-2.841581e-006
4.250000e-002,-8.136173e-006,1.536053e-006
4.300000e-002,-6.305757e-006,3.400355e-006
4.350000e-002,-6.461271e-006,4.562085e-006
4.400000e-002,-8.958607e-006,8.664828e-006
4.450000e-002,-8.960923e-006,1.639840e-005
4.500000e-002,-7.588439e-006,2.329456e-005
4.550000e-002,-7.411909e-006,2.709413e-005
4.600000e-002,-5.529474e-006,2.921803e-005
4.650000e-002,-2.004645e-006,2.912084e-005
4.700000e-002,-3.419029e-007,2.570557e-005
4.750000e-002,3.676650e-007,2.024164e-005
4.800000e-002,3.603368e-007,1.501735e-005
4.850000e-002,-1.416489e-006,1.111464e-005
4.900000e-002,-4.466749e-006,9.900496e-006
4.950000e-002,-6.059680e-006,1.266346e-005
5.000000e-002,-6.027651e-006,1.751747e-005
5.050000e-002,-6.727930e-006,1.932591e-005
5.100000e-002,-8.997671e-006,1.653423e-005
5.150000e-002,-9.661314e-006,1.276681e-005
5.200000e-002,-7.696056e-006,1.086750e-005
5.250000e-002,-5.877872e-006,1.187138e-005
5.300000e-002,-4.836212e-006,1.458600e-005
5.350000e-002,-3.406459e-006,1.685573e-005
5.400000e-002,-5.512017e-007,1.732960e-005
5.450000e-002,1.453496e-006,1.498628e-005
5.500000e-002,6.160635e-007,1.273354e-005
5.550000e-002,-3.210865e-006,1.148497e-005
5.600000e-002,-7.212347e-006,1.222399e-005
5.650000e-002,-7.037454e-006,1.307824e-005
5.700000e-002,-4.687355e-006,1.128248e-005
5.750000e-002,-3.692627e-006,8.293056e-006
5.800000e-002,-3.630060e-006,4.966167e-006
5.850000e-002,-5.868238e-006,5.309212e-006
5.900000e-002,-9.093471e-006,8.636080e-006
5.950000e-002,-9.023500e-006,9.199420e-006
6.000000e-002,-8.623117e-006,7.476707e-006
6.050000e-002,-8.211909e-006,8.271791e-006
6.100000e-002,-5.287701e-006,9.992890e-006
6.150000e-002,-2.019142e-006,9.895759e-006
6.200000e-002,-1.246894e-006,9.368108e-006
6.250000e-002,-2.964082e-006,9.625943e-006
6.300000e-002,1.660192e-006,1.010442e-005
6.350000e-002,5.325052e-004,4.363006e-005
6.400000e-002,2.238299e-003,1.477865e-004
6.450000e-002,2.990385e-003,1.774666e-004
6.500000e-002,8.909303e-004,3.730689e-005
6.550000e-002,-1.032307e-003,-6.052292e-005
6.600000e-002,-1.065426e-003,-4.407645e-005
6.650000e-002,-6.131045e-004,-1.749106e-005
6.700000e-002,-4.031816e-004,-1.090222e-005
6.750000e-002,-4.901303e-004,-1.661347e-005
6.800000e-002,-5.021545e-004,-1.478008e-005
6.850000e-002,-4.779876e-004,-1.434391e-005
6.900000e-002,-4.302772e-004,-1.126259e-005
6.950000e-002,-4.096967e-004,-9.780384e-006
7.000000e-002,-3.915502e-004,-9.630107e-006
7.050000e-002,-3.647952e-004,-9.560109e-006
7.100000e-002,-3.461297e-004,-8.383019e-006
7.150000e-002,-3.135237e-004,-4.079282e-006
7.200000e-002,-2.975674e-004,-3.449854e-007
7.250000e-002,-2.670914e-004,3.243984e-006
7.300000e-002,-2.524351e-004,4.659719e-006
7.350000e-002,-2.216710e-004,4.212014e-006
7.400000e-002,-2.108273e-004,8.730098e-007
7.450000e-002,-1.873393e-004,-2.685102e-006
7.500000e-002,-1.749680e-004,-1.056894e-005
7.550000e-002,-1.488293e-004,-2.009342e-005
7.600000e-002,-1.330228e-004,-2.450299e-005
7.650000e-002,-1.121483e-004,-1.753566e-005
7.700000e-002,-9.917835e-005,-5.794051e-006
7.750000e-002,-8.338004e-005,3.457242e-006
7.800000e-002,-7.133466e-005,4.840038e-006
7.850000e-002,-5.979504e-005,1.422599e-006
7.900000e-002,-4.685869e-005,4.724306e-007
7.950000e-002,-3.800912e-005,3.952680e-006
8.000000e-002,-2.885430e-005,6.278875e-006
8.050000e-002,-2.394820e-005,6.103801e-006
8.100000e-002,-1.323454e-005,5.460079e-006
8.150000e-002,-7.373444e-006,6.030604e-006
8.200000e-002,5.486764e-006,9.962636e-006
8.250000e-002,1.421052e-005,1.294687e-005
8.300000e-002,4.181532e-005,1.694092e-005
8.350000e-002,8.114898e-005,1.929689e-005
