X [s],Trigno sensor (EMG) 1: EMG 1 [Volts],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,-1.929809e-004,1.366720e-006
5.000000e-004,-2.529393e-004,5.612521e-006
1.000000e-003,-1.639436e-004,7.456013e-006
1.500000e-003,-1.937008e-004,6.362915e-006
2.000000e-003,-1.375867e-004,6.123911e-006
2.500000e-003,-1.471779e-004,6.205322e-006
3.000000e-003,-1.141611e-004,9.446466e-006
3.500000e-003,4.820663e-004,5.629313e-005
4.000000e-003,2.007260e-003,1.586760e-004
4.500000e-003,2.061931e-003,1.482167e-004
5.000000e-003,3.156277e-004,2.524907e-005
5.500000e-003,-6.980048e-004,-3.210188e-005
6.000000e-003,-7.499044e-004,-2.571708e-005
6.500000e-003,-4.023633e-004,-5.249717e-006
7.000000e-003,-3.247135e-004,-5.803458e-006
7.500000e-003,-3.349544e-004,-1.062912e-005
8.000000e-003,-3.618507e-004,-1.267666e-005
8.500000e-003,-3.286508e-004,-1.261620e-005
9.000000e-003,-2.900994e-004,-1.275003e-005
9.500000e-003,-2.704662e-004,-1.481629e-005
1.000000e-002,-2.423244e-004,-1.240764e-005
1.050000e-002,-2.356897e-004,-1.046622e-005
1.100000e-002,-1.991501e-004,-6.417086e-006
1.150000e-002,-1.901145e-004,-4.143565e-006
1.200000e-002,-1.524503e-004,2.001313e-007
1.250000e-002,-1.509115e-004,-1.240476e-006
1.300000e-002,-1.070727e-004,1.012194e-006
1.350000e-002,2.461786e-004,2.857032e-005
1.400000e-002,2.126165e-003,1.531347e-004
1.450000e-002,2.347274e-003,1.475393e-004
1.500000e-002,1.536189e-004,-8.670612e-006
1.550000e-002,-7.488195e-004,-4.941408e-005
1.600000e-002,-7.674064e-004,-3.732700e-005
1.650000e-002,-3.747864e-004,-7.179648e-006
1.700000e-002,-3.226218e-004,-4.392641e-006
1.750000e-002,-3.350156e-004,-2.741575e-006
1.800000e-002,-3.337774e-004,3.637103e-006
1.850000e-002,-3.297609e-004,9.810060e-006
1.900000e-002,-2.599982e-004,1.585573e-005
1.950000e-002,-2.811692e-004,1.213329e-005
2.000000e-002,-2.120949e-004,1.337049e-005
2.050000e-002,-2.434583e-004,7.272414e-006
2.100000e-002,-1.691694e-004,8.615089e-006
2.150000e-002,-1.968226e-004,5.092081e-006
2.200000e-002,-1.316494e-004,9.041044e-006
2.250000e-002,-1.540002e-004,4.202140e-006
2.300000e-002,-7.310528e-005,5.377368e-006
2.350000e-002,4.232229e-004,3.433870e-005
2.400000e-002,1.952048e-003,1.272521e-004
