X [s],Trigno sensor (EMG) 1: EMG 1 [Volts],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,-3.457802e-005,-1.776736e-006
5.000000e-004,-1.086050e-005,-9.263497e-007
1.000000e-003,3.557491e-005,2.129711e-006
1.500000e-003,2.713860e-005,4.985131e-006
2.000000e-003,3.963732e-005,8.825321e-006
2.500000e-003,3.340803e-005,9.814163e-006
3.000000e-003,3.959461e-005,1.100187e-005
3.500000e-003,3.770037e-005,1.074736e-005
4.000000e-003,3.929236e-005,1.137510e-005
4.500000e-003,4.016617e-005,1.535955e-005
5.000000e-003,3.728840e-005,1.919752e-005
5.500000e-003,3.875560e-005,2.056589e-005
6.000000e-003,3.555267e-005,1.999128e-005
6.500000e-003,3.863624e-005,2.053371e-005
7.000000e-003,3.507405e-005,2.068498e-005
7.500000e-003,3.892590e-005,1.840493e-005
8.000000e-003,3.469228e-005,1.488628e-005
8.500000e-003,3.563687e-005,1.344886e-005
9.000000e-003,3.076780e-005,1.306343e-005
9.500000e-003,3.210792e-005,1.556476e-005
1.000000e-002,2.959695e-005,1.767431e-005
1.050000e-002,3.049424e-005,1.332950e-005
1.100000e-002,2.633219e-005,4.648275e-006
1.150000e-002,2.399648e-005,-1.354197e-006
1.200000e-002,2.462319e-005,-4.360021e-006
1.250000e-002,2.605459e-005,-8.429068e-006
1.300000e-002,2.542012e-005,-9.467838e-006
1.350000e-002,2.523800e-005,-6.193236e-006
1.400000e-002,2.700096e-005,-2.318201e-006
1.450000e-002,2.597508e-005,3.607549e-006
1.500000e-002,2.320228e-005,9.056012e-006
1.550000e-002,1.705723e-005,1.049184e-005
1.600000e-002,1.859074e-005,8.990676e-006
1.650000e-002,1.777531e-005,6.545782e-006
1.700000e-002,1.634524e-005,5.348476e-006
1.750000e-002,1.396455e-005,6.342267e-006
1.800000e-002,1.437476e-005,1.054189e-005
1.850000e-002,1.034854e-005,1.679948e-005
1.900000e-002,7.365240e-006,2.188287e-005
1.950000e-002,3.392538e-006,2.328380e-005
2.000000e-002,2.716712e-006,2.230111e-005
2.050000e-002,2.176738e-006,1.957369e-005
2.100000e-002,1.089745e-004,2.193712e-005
2.150000e-002,7.334501e-004,5.400453e-005
2.200000e-002,1.439000e-003,8.839580e-005
2.250000e-002,8.480693e-004,4.507593e-005
2.300000e-002,-3.069544e-004,-1.808025e-005
2.350000e-002,-6.199173e-004,-1.965614e-005
2.400000e-002,-4.330331e-004,1.861819e-006
2.450000e-002,-2.591251e-004,1.366695e-005
2.500000e-002,-2.628533e-004,1.152194e-005
2.550000e-002,-2.811872e-004,1.000199e-005
2.600000e-002,-2.730592e-004,1.048750e-005
2.650000e-002,-2.482758e-004,1.236160e-005
